,Kanji,Reading,Meaning,Frequency
138,得る,うる,[1] to be able to ...; can ... [2] to get; to acquire; to obtain; to procure; to earn; to win; to gain; to secure; to attain,380.0
139,嬉しい,うれしい,[1] happy; glad; pleased; delighted; overjoyed [2] joyful; delightful; gratifying; pleasant,394.0
140,売れる,うれる,[1] to sell (well) [2] to be well known; to be popular; to be famous,1524.0
141,噂,うわさ,rumour; rumor; report; hearsay; gossip; common talk,1883.0
142,運,うん,fortune; luck; chance,2260.0
143,運転,うんてん,"[1] operation (of a machine); running; working [2] driving (a vehicle) [3] use (of capital, funds, etc.); management; investment",1571.0
144,運動,うんどう,[1] exercise; physical training; workout; sports; athletics [2] appeal; campaign; drive; crusade; movement; lobbying [3] motion; movement,895.0
145,柄,え,"[1] handle; grip [2] stalk (of a mushroom, leaf, etc.)",
146,永遠,えいえん,eternity; perpetuity; permanence; immortality,2846.0
147,永久,えいきゅう,[1] eternity; permanence; perpetuity [2] Eikyū era (1113.7.13-1118.4.3),
148,影響,えいきょう,influence; effect; impact,468.0
149,営業,えいぎょう,[1] business; trade; operations [2] sales,2071.0
150,衛星,えいせい,[1] (natural) satellite; moon [2] (artificial) satellite,
151,栄養,えいよう,nutrition; nourishment,2760.0
152,笑顔,えがお,smiling face; smile,1661.0
153,描く,えがく,[1] to draw; to paint; to sketch [2] to depict; to describe [3] to picture in one's mind; to imagine,707.0
154,餌,えさ,[1] (animal) feed; fodder; pet food [2] bait; lure; enticement,1678.0
155,,エネルギー,[1] energy [2] energy; strength; power; stamina; get-up-and-go [3] energy source; energy resource,1355.0
156,得る,える,[1] to get; to earn; to acquire; to procure; to gain; to secure; to attain; to obtain; to win [2] to understand; to comprehend [3] to receive something undesirable (e.g. a punishment); to get (ill),380.0
157,縁,えん,[1] fate; destiny (esp. as a mysterious force that binds two people together) [2] relationship (e.g. between two people); bond; link; connection [3] family ties; affinity,2289.0
158,円,えん,[1] yen (Japanese monetary unit) [2] circle,3937.0
159,演技,えんぎ,acting; performance,4189.0
160,援助,えんじょ,assistance; aid; support,2337.0
161,,エンジン,engine,2420.0
162,演説,えんぜつ,speech; address,
163,演奏,えんそう,musical performance,1695.0
164,老い,おい,old age; old person; the old; the aged,
165,追いつく,おいつく,[1] to catch up (with); to draw level; to pull even; to reach [2] to be compensated; to make up for one's losses,
166,追う,おう,"[1] to chase; to run after; to pursue; to follow after [2] to follow (a set order, a trend, etc.) [3] to drive out; to get rid of; to oust; to expel",1290.0
167,王,おう,[1] king; ruler; sovereign; monarch [2] tycoon; magnate; champion; master [3] king (of the senior player),2623.0
168,王様,おうさま,king,3521.0
169,王子,おうじ,[1] prince [2] subordinate Kumano shrine,
170,応じる,おうじる,to respond; to satisfy; to accept; to comply with; to apply for,1122.0
171,横断,おうだん,"[1] crossing (a road, river, etc.); cutting through (e.g. of a river through a town); cutting across; intersecting (e.g. a railway track) [2] crossing (east-west); traversing; travelling across; flying across (e.g. the Pacific); sailing across [3] cutting horizontally; sectioning laterally",
172,終える,おえる,[1] to finish [2] to graduate,1855.0
173,大いに,おおいに,very; very much; greatly; considerably; highly; exceedingly; a great deal; a lot; to one's heart's content,2347.0
174,覆う,おおう,to cover; to hide; to conceal; to wrap; to disguise,2306.0
175,大家,おおや,landlord; landlady,
176,丘,おか,[1] hill; height; knoll; rising ground [2] bonus points awarded to the winner at the end of a game,3246.0
177,沖,おき,[1] open sea [2] Okinawa,
178,奥,おく,"[1] inner part; interior; back (of a drawer, one's throat, etc.); depths (e.g. of a forest); recesses (e.g. of a cave); heart; end (of a road, garden, etc.) [2] living quarters (at the back of a house); inner room [3] recesses (of one's mind); bottom (of one's heart); behind (someone's words); mysteries (of an art)",1242.0
179,贈る,おくる,[1] to give (as a gift); to present [2] to confer; to bestow; to award,3813.0
180,起こる,おこる,to occur; to happen,526.0
181,幼い,おさない,[1] very young; little [2] childish; immature,2522.0
182,収める,おさめる,"[1] to put (into); to put away (in); to put back (in); to keep (in); to store (in); to restore (to its place) [2] to include (in an anthology, catalogue, etc.); to contain; to publish (in); to capture (on film) [3] to achieve (results, success, etc.); to obtain; to get; to gain; to win; to make (a profit)",1875.0
183,お喋り,おしゃべり,[1] chattering; talk; idle talk; chat; chitchat; gossip [2] chatty; talkative; chatterbox; blabbermouth,4312.0
184,汚染,おせん,pollution; contamination,3499.0
185,恐らく,おそらく,probably; (most) likely; in all likelihood; I suspect; I dare say; I'm afraid,804.0
186,恐れる,おそれる,to fear; to be afraid of,2467.0
187,恐ろしい,おそろしい,[1] terrible; dreadful; terrifying; frightening [2] surprising; startling; tremendous; amazing,1973.0
188,お互い,おたがい,each other; one another,
189,穏やか,おだやか,[1] calm; quiet; gentle; peaceful; mild [2] moderate; reasonable; amicable,2792.0
190,男の人,おとこのひと,man,
191,劣る,おとる,to be inferior to; to be less good at; to fall behind,4505.0
192,鬼,おに,"[1] ogre; demon; oni [2] spirit of a deceased person [3] ogre-like person (i.e. fierce, relentless, merciless, etc.)",4105.0
193,お昼,おひる,[1] lunch [2] noon; midday [3] daytime,
194,帯,おび,"[1] obi (kimono sash) [2] obi (strip of paper looped around a book, CD, etc. containing information about the product) [3] band; belt; strip",4385.0
195,,オフィス,office,3625.0
196,溺れる,おぼれる,[1] to struggle in the water; to sink below the surface and become unable to breathe; to (nearly) drown [2] to indulge in; to lose one's head over something; to be addicted; to wallow in,
197,お前,おまえ,"[1] you [2] before (a god, nobleman, etc.); in front of",598.0
198,御目出度う,おめでとう,congratulations!; well done!; best wishes!; all the best!,4646.0
199,思い出,おもいで,memories; recollections; reminiscence,653.0
200,主に,おもに,mainly; primarily; mostly; largely; chiefly,1259.0
201,思わず,おもわず,unconsciously; involuntarily; instinctively; reflexively; spontaneously; unintentionally; in spite of oneself,
202,泳ぎ,およぎ,swimming,
203,凡そ,およそ,[1] about; roughly; approximately [2] generally; on the whole; as a rule [3] completely; quite; entirely; altogether; totally; not at all (with neg. verb),2777.0
204,及ぼす,およぼす,to exert (influence); to exercise; to cause (e.g. damage); to do (e.g. harm); to bring about (e.g. benefits); to extend; to have an effect (on),2559.0
205,居る,おる,[1] to be (animate); to be; to exist [2] to be ...-ing [3] to (have the audacity to) do,684.0
206,下ろす,おろす,"[1] to take down; to bring down; to lower (a hand, flag, shutter, etc.); to drop (an anchor, curtain, etc.); to let down (hair); to launch (a boat) [2] to drop off (a passenger); to let off; to unload (goods, a truck, etc.); to offload; to discharge [3] to withdraw (money)",1607.0
207,恩,おん,favour; favor; obligation; debt of gratitude,
208,温暖,おんだん,warm; mild; temperate,
209,温度,おんど,temperature,2391.0
210,,オーバー,[1] overcoat [2] exceeding; going over; going beyond [3] exaggerated; overdone; over the top,
0,可,か,[1] acceptable; satisfactory; allowed; permitted [2] approval; being in favour; (a) vote in favour; aye [3] Pass (grade); Fair; C; D,
1,課,か,[1] lesson [2] section (in an organization); division; department [3] counter for lessons and chapters (of a book),
2,会,かい,[1] meeting; assembly; party; gathering; conference; athletic meet [2] society; association; club,1636.0
3,回,かい,[1] counter for occurrences [2] a time; an instance [3] inning (baseball); round; game,
4,会員,かいいん,member; the membership,3833.0
5,絵画,かいが,painting; picture,4369.0
6,海外,かいがい,foreign; abroad; overseas,923.0
7,会計,かいけい,[1] accounting; finance; account; reckoning [2] bill (at a restaurant); check [3] accountant; treasurer; paymaster; cashier,
8,解決,かいけつ,settlement; solution; resolution,1100.0
9,会合,かいごう,[1] meeting; assembly; gathering [2] association [3] conjunction,
10,開始,かいし,start; commencement; beginning; initiation,1647.0
11,解釈,かいしゃく,interpretation; explanation; reading; construction,2058.0
12,改善,かいぜん,[1] betterment; improvement [2] kaizen (Japanese business philosophy of continuous improvement),1384.0
13,快適,かいてき,pleasant; agreeable; comfortable,2940.0
14,回復,かいふく,[1] restoration; recovery; rehabilitation; return; improvement [2] recovery (from an illness); recuperation; convalescence,1639.0
15,飼う,かう,to keep (a pet or other animal); to have; to own; to raise; to rear; to feed,822.0
16,替える,かえる,"[1] to replace; to convert; to change [2] to exchange; to interchange; to renew [3] to substitute (person, staff member, player, etc.)",
17,香り,かおり,aroma; fragrance; scent; smell,1431.0
18,抱える,かかえる,"[1] to hold in one's arms; to carry in one's arms; to carry under one's arm; to hold (one's head) in one's hands [2] to have (problems, debts, etc.); to take on (a responsibility); to be burdened with (e.g. care of a family member); to have (children, etc.) to provide for [3] to employ; to have (on one's staff); to hire",1288.0
19,価格,かかく,price; value; cost,1584.0
20,係,かかり,[1] charge; duty; person in charge; official; clerk [2] connection; linking,
21,罹る,かかる,to contract (a disease); to suffer from,
22,化学,かがく,chemistry,
23,輝く,かがやく,"[1] to shine; to sparkle; to twinkle; to glitter; to glisten [2] to light up (with happiness, hope, etc.); to beam; to gleam; to glow",2098.0
24,限る,かぎる,[1] to restrict; to limit; to confine [2] to be restricted to; to be limited to; to be confined to [3] to be best (for); to be the best plan; to be the only way (to),750.0
25,覚悟,かくご,[1] readiness; (mental) preparedness [2] resolution; determination [3] resignation (to one's fate),2545.0
26,確実,かくじつ,certain; sure; definite; reliable; sound; solid; safe; secure,1692.0
27,隠す,かくす,to hide; to conceal,1490.0
28,拡大,かくだい,[1] expansion; extension [2] magnification; enlargement [3] escalation; spread,1251.0
29,確認,かくにん,confirmation; verification; validation; review; check; affirmation; identification,622.0
30,隠れる,かくれる,[1] to hide; to conceal oneself; to take cover [2] to disappear (behind); to be hidden (by); to be covered; to go out of sight [3] to live in seclusion; to retire (from the world),2352.0
31,家具,かぐ,furniture,3666.0
32,欠ける,かける,"[1] to chip; to be chipped; to break (off); to be damaged [2] to be missing (from a set, team, etc.); to be absent; to become lost [3] to be lacking (in); to be short (of); to be deficient; to be wanting (in)",2729.0
33,影,かげ,[1] shadow; silhouette; figure; shape [2] reflection; image [3] ominous sign,2169.0
34,陰,かげ,[1] shade; shadow [2] behind (something); other side; back [3] the background; behind the scenes; behind someone's back,2784.0
35,加減,かげん,[1] degree; extent; amount; balance; state; condition [2] (health) condition; state of health [3] adjustment; moderation; regulation,
36,過去,かこ,[1] the past; bygone days [2] one's past (that one would prefer remained secret) [3] past (tense); preterit; preterite,740.0
37,囲む,かこむ,"[1] to surround; to encircle; to enclose; to fence; to wall in [2] to besiege; to lay siege to [3] to play (go, shogi, etc.)",1682.0
38,籠,かご,"basket (shopping, etc.); hamper; cage",
39,菓子,かし,confectionery; sweets; candy; cake,
40,賢い,かしこい,[1] wise; clever; smart [2] well-behaved (esp. children and pets); obedient; good,4605.0
41,歌手,かしゅ,singer,4125.0
42,家事,かじ,[1] housework; domestic chores [2] family affairs; household matters,3453.0
43,数,かず,number; amount,623.0
44,稼ぐ,かせぐ,"[1] to earn (income); to make (money) [2] to score (points, victory); to gain (time); to play (for time) [3] to work hard (at one's job); to labor; to labour; to toil",2872.0
45,数える,かぞえる,to count; to enumerate,2589.0
46,肩,かた,shoulder,1079.0
47,型,かた,"[1] type; style; model; pattern [2] mold; mould; model; pattern; template; impression [3] kata (set sequence of positions and movements in martial arts); style (in kabuki, noh, etc.); form",3006.0
48,方々,かたがた,[1] people; (all) persons; everyone; ladies and gentlemen [2] you (usu. plural),1207.0
49,刀,かたな,[1] sword (esp. Japanese single-edged); katana [2] scalpel [3] chisel; burin; graver,4370.0
50,語る,かたる,[1] to talk about; to speak of; to tell; to narrate [2] to recite; to chant [3] to indicate; to show,886.0
51,価値,かち,value; worth; merit,1332.0
52,勝ち,かち,win; victory,
53,活気,かっき,energy; vigour; vigor; liveliness; spirit; life; animation,4760.0
54,格好,かっこう,[1] shape; form; figure; posture; pose [2] appearance [3] state; situation,1068.0
55,活動,かつどう,"[1] activity (of a person, organization, animal, volcano, etc.); action; operation [2] moving picture",685.0
56,活用,かつよう,[1] practical use; application; making good use of; putting to good use; capitalizing on [2] conjugation; inflection,1408.0
57,悲しむ,かなしむ,to be sad; to mourn for; to regret,
58,必ずしも,かならずしも,(not) always; (not) necessarily; (not) entirely; (not) all,1970.0
59,可也,かなり,considerably; fairly; quite; rather; pretty,206.0
60,金,かね,[1] money [2] metal,250.0
61,可能,かのう,possible; potential; practicable; feasible,690.0
62,株,かぶ,[1] stock; share [2] stump [3] (clump of) roots; plant with attached roots or stem,3077.0
63,被る,かぶる,"[10] to be deceived [1] to put on (one's head); to wear; to have on; to pull over (one's head); to crown (oneself) [2] to be covered with (dust, snow, etc.); to pour (water, etc.) on oneself; to dash on oneself; to ship water",2069.0
64,構う,かまう,[1] to mind; to care about; to be concerned about; to have a regard for [2] to be an issue; to matter; to create inconvenience [3] to keep company; to care for; to look after; to entertain; to pay attention to; to spend time with,1433.0
65,神,かみ,[1] god; deity; divinity; spirit; kami [2] incredible; fantastic; amazing [3] Emperor (of Japan),834.0
66,上,かみ,[1] upper reaches (of a river); upper stream [2] top; upper part; upper half (of the body) [3] long ago,
67,雷,かみなり,[1] lightning; thunder; thunderbolt [2] god of thunder; god of lightning [3] anger; fit of anger,
68,髪の毛,かみのけ,hair (on the head); (a) hair,3001.0
69,科目,かもく,[1] (school) subject; curriculum; course [2] item; heading; entry,
70,かも知れない,かもしれない,may; might; perhaps; may be; possibly,
71,火曜,かよう,Tuesday,
72,空,から,"[1] emptiness; being empty [2] not carrying anything; unburdened; empty-handed [3] dishonoured (bill, promise, etc.); false; no-show (reservation); put-on (cheeriness, courage, etc.); empty (compliments); insincere",
73,刈る,かる,"to cut (grass, hair, etc.); to mow; to clip; to trim; to prune; to shear; to reap; to harvest",
74,彼ら,かれら,they; them,458.0
75,皮,かわ,[1] skin; hide; pelt; fur [2] rind; peel; husk; bark [3] shell; sheath; wrapping,1455.0
76,革,かわ,leather,1455.0
77,可哀想,かわいそう,poor; pitiable; pathetic; pitiful,1833.0
78,可愛らしい,かわいらしい,lovely; sweet; pretty; cute; adorable,4660.0
79,缶,かん,[1] can; tin [2] canned food,
80,勘,かん,perception; intuition; the sixth sense,
81,管,かん,pipe; tube,
82,感覚,かんかく,sense; sensation; feeling; intuition,1045.0
83,考え,かんがえ,[1] thinking; thought; view; opinion; concept [2] idea; notion; imagination [3] intention; plan; design,717.0
84,観客,かんきゃく,spectator; audience,4231.0
85,環境,かんきょう,environment; surroundings; circumstances,571.0
86,歓迎,かんげい,welcome; (warm) reception,4769.0
87,観光,かんこう,sightseeing; tourism,2813.0
88,観察,かんさつ,observation; survey; watching,1897.0
89,感謝,かんしゃ,thanks; gratitude; appreciation; thankfulness,1156.0
90,関心,かんしん,concern; interest,975.0
91,感心,かんしん,[1] admiration; being impressed [2] admirable; praiseworthy [3] astonishment; being appalled,2978.0
92,感じ,かんじ,feeling; sense; impression,138.0
93,患者,かんじゃ,patient,1070.0
94,感情,かんじょう,emotion; feeling; feelings; sentiment,1392.0
95,勘定,かんじょう,[1] calculation; computation; counting; reckoning; count [2] bill; check; account; payment (of a bill); settlement (of an account) [3] consideration; allowance,
96,感じる,かんじる,[1] to feel; to sense; to experience [2] to be moved (by); to be touched (by); to be impressed (by); to respond (to) [3] to become infected with (an illness); to catch,210.0
97,関する,かんする,to concern; to be related,2022.0
